id,job_title,location,connection,fit,title_embedding,relevance_score,rank
6,Aspiring Human Resources Specialist,Greater New York City Area,1,,"[-0.02386009  0.01651255 -0.01401159 ... -0.00445435 -0.01186791
  0.00864462]",100.0,1
36,Aspiring Human Resources Specialist,Greater New York City Area,1,,"[-0.02386009  0.01651255 -0.01401159 ... -0.00445435 -0.01186791
  0.00864462]",100.0,2
49,Aspiring Human Resources Specialist,Greater New York City Area,1,,"[-0.02385277  0.01647643 -0.01396071 ... -0.0044491  -0.01188756
  0.00867303]",99.99998762418777,3
24,Aspiring Human Resources Specialist,Greater New York City Area,1,,"[-0.02385546  0.01650935 -0.01396228 ... -0.00444184 -0.01186561
  0.00868177]",99.99998012197472,4
60,Aspiring Human Resources Specialist,Greater New York City Area,1,,"[-0.02385546  0.01650935 -0.01396228 ... -0.00444184 -0.01186561
  0.00868177]",99.99998012197472,5
58,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,"[-0.04464512  0.02180196 -0.01548381 ...  0.00278638 -0.01729012
  0.00069314]",85.05250057853786,6
46,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,"[-0.04464512  0.02180196 -0.01548381 ...  0.00278638 -0.01729012
  0.00069314]",85.05250057853786,7
33,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,"[-0.04464512  0.02180196 -0.01548381 ...  0.00278638 -0.01729012
  0.00069314]",85.05250057853786,8
3,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,"[-0.04464059  0.02178398 -0.01549801 ...  0.00279792 -0.01730414
  0.00072659]",85.0491579480933,9
17,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,"[-0.04466882  0.02176659 -0.01549686 ...  0.00279969 -0.01731863
  0.00069499]",85.04317694227134,10
21,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,"[-0.04466882  0.02176659 -0.01549686 ...  0.00279969 -0.01731863
  0.00069499]",85.04317694227134,11
97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,,"[-0.04466882  0.02176659 -0.01549686 ...  0.00279969 -0.01731863
  0.00069499]",85.04317694227134,12
73,"Aspiring Human Resources Manager, seeking internship in Human Resources.","Houston, Texas Area",7,,"[-0.02212478  0.02834258 -0.02383955 ... -0.01150154 -0.02201325
  0.00142375]",69.14863355835993,13
72,Business Management Major and Aspiring Human Resources Manager,"Monroe, Louisiana Area",5,,"[-0.00776871  0.0124116  -0.02211367 ...  0.00548255 -0.00646687
  0.00593061]",69.03798234562886,14
27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,"[-0.03696233  0.02785326 -0.01315139 ... -0.01521408 -0.02184515
  0.01522793]",68.04859421692424,15
29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,"[-0.03693251  0.02785165 -0.01314371 ... -0.01519936 -0.02183005
  0.01525473]",68.04396375855565,16
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,,"[-0.04433578  0.01974403 -0.02844424 ...  0.00565434 -0.01395726
 -0.0210924 ]",67.43655230100254,17
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,,"[-0.03728301  0.02565894 -0.01701383 ...  0.00448763 -0.02151297
 -0.0218815 ]",65.57151548567624,18
39,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03498251  0.02928561 -0.02379641 ... -0.00301906 -0.00697647
 -0.00508863]",64.81843689130434,19
9,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03498251  0.02928561 -0.02379641 ... -0.00301906 -0.00697647
 -0.00508863]",64.81843689130434,20
7,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03499793  0.02927369 -0.0237719  ... -0.00301968 -0.00698105
 -0.00508656]",64.81483373807407,21
37,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03499793  0.02927369 -0.0237719  ... -0.00301968 -0.00698105
 -0.00508656]",64.81483373807407,22
50,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03499793  0.02927369 -0.0237719  ... -0.00301968 -0.00698105
 -0.00508656]",64.81483373807407,23
25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03500324  0.02932263 -0.02379034 ... -0.00300902 -0.00700807
 -0.00509475]",64.81275915528869,24
52,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,"[-0.03500324  0.02932263 -0.02379034 ... -0.00300902 -0.00700807
 -0.00509475]",64.81275915528869,25
99,Seeking Human Resources Position,"Las Vegas, Nevada Area",48,,"[-0.02988913 -0.00958596 -0.01448313 ... -0.00153967 -0.00507579
  0.00451016]",62.918444037063274,26
61,HR Senior Specialist,San Francisco Bay Area,500+ ,,"[ 5.07246186e-05 -1.79669373e-02 -1.62529871e-02 ...  1.77410839e-03
  3.83528252e-03  1.89801101e-02]",62.73938956679415,27
51,HR Senior Specialist,San Francisco Bay Area,500+ ,,"[ 6.21412182e-05 -1.79853309e-02 -1.62121300e-02 ...  1.75842503e-03
  3.85460281e-03  1.89817026e-02]",62.734195803862775,28
38,HR Senior Specialist,San Francisco Bay Area,500+ ,,"[ 6.21412182e-05 -1.79853309e-02 -1.62121300e-02 ...  1.75842503e-03
  3.85460281e-03  1.89817026e-02]",62.734195803862775,29
26,HR Senior Specialist,San Francisco Bay Area,500+ ,,"[ 6.21412182e-05 -1.79853309e-02 -1.62121300e-02 ...  1.75842503e-03
  3.85460281e-03  1.89817026e-02]",62.734195803862775,30
8,HR Senior Specialist,San Francisco Bay Area,500+ ,,"[ 6.21412182e-05 -1.79853309e-02 -1.62121300e-02 ...  1.75842503e-03
  3.85460281e-03  1.89817026e-02]",62.734195803862775,31
28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,"[-0.02170144  0.00247051 -0.0198455  ... -0.00256819 -0.01027277
  0.00135125]",61.88728162848974,32
30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,"[-0.02172379  0.00248342 -0.01985105 ... -0.00257705 -0.01030007
  0.00134552]",61.88047044262405,33
79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,,"[-0.0202374   0.02363705 -0.01729006 ... -0.01143187 -0.00999468
 -0.00648924]",61.04328136555221,34
100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,"Cape Girardeau, Missouri",103,,"[-0.02213972  0.03142166 -0.00601361 ...  0.01344107 -0.00325882
 -0.00682832]",60.92938330801528,35
74,Human Resources Professional,Greater Boston Area,16,,"[-0.02305606 -0.01998521 -0.0211183  ...  0.01209458 -0.00452828
  0.0037072 ]",60.57923831629392,36
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,,"[-0.03077738  0.01804865 -0.02090397 ... -0.00843072 -0.00908444
  0.00744263]",60.4361486519481,37
10,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,"[-0.01824221  0.01223375 -0.03102854 ...  0.00119522  0.00399748
  0.00573566]",59.666027319339335,38
40,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,"[-0.01824221  0.01223375 -0.03102854 ...  0.00119522  0.00399748
  0.00573566]",59.666027319339335,39
53,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,"[-0.01824188  0.01226151 -0.03102798 ...  0.00118471  0.00398691
  0.00570059]",59.65337026717043,40
62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,"[-0.01747943  0.0119387  -0.03139049 ...  0.0029446   0.00349693
  0.00624813]",59.5354428609979,41
15,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639514  0.02170272 -0.01728437 ...  0.00098128  0.00179409
 -0.00704088]",55.16462806059767,42
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639927  0.02166649 -0.01731651 ...  0.00097979  0.00180149
 -0.0070635 ]",55.16062340662702,43
31,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639927  0.02166649 -0.01731651 ...  0.00097979  0.00180149
 -0.0070635 ]",55.16062340662702,44
44,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639927  0.02166649 -0.01731651 ...  0.00097979  0.00180149
 -0.0070635 ]",55.16062340662702,45
19,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639927  0.02166649 -0.01731651 ...  0.00097979  0.00180149
 -0.0070635 ]",55.16062340662702,46
14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639243  0.02167135 -0.0173093  ...  0.00096896  0.00182678
 -0.00706055]",55.156492333721474,47
57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,"[-0.01639243  0.02167135 -0.0173093  ...  0.00096896  0.00182678
 -0.00706055]",55.156492333721474,48
88,Human Resources Management Major,"Milpitas, California",18,,"[ 0.00131789  0.0080993  -0.01785243 ...  0.00140003  0.01137742
  0.01049144]",52.12336420023795,49
67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,,"[-0.01135838 -0.03078634 -0.02700021 ...  0.01589852 -0.00693856
  0.00187301]",51.826784968369566,50
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,,"[-0.00984298 -0.0193204  -0.01114274 ... -0.00829274  0.01030331
 -0.0021595 ]",46.21583106156166,51
68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,,"[-0.02999858 -0.00048923 -0.00510544 ... -0.01546574 -0.01583016
  0.00289527]",45.74649056295666,52
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,,"[-0.0197363   0.00150436 -0.00847526 ... -0.01578609 -0.00375675
 -0.00259969]",44.745603589619314,53
71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,,"[-0.01394166 -0.01123517 -0.0301806  ...  0.01413549  0.00746618
  0.02140784]",44.640157672970304,54
78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,,"[-0.02313415  0.01484674 -0.01464084 ...  0.00828006  0.02261941
  0.01168473]",44.00362261994836,55
84,Human Resources professional for the world leader in GIS software,"Highland, California",50,,"[-0.02164638 -0.00561799 -0.01015448 ...  0.00373776 -0.01372919
  0.00434249]",43.734515964029896,56
101,Human Resources Generalist at Loparex,"Raleigh-Durham, North Carolina Area",500+ ,,"[-0.02550801  0.01018779 -0.01659947 ... -0.00307676  0.00155476
  0.00399574]",43.301721708942225,57
83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,,"[-0.04861545 -0.0186918  -0.01169285 ...  0.01761891 -0.00221913
  0.0006496 ]",36.27378547326544,58
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,,"[-0.0120715  -0.02534415 -0.00876407 ...  0.00177383  0.00473165
 -0.01256912]",35.89130125709225,59
43,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,"[-0.04289726 -0.00519586 -0.01260446 ...  0.00879665 -0.01419954
  0.00708619]",35.48339225574407,60
65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,"[-0.04289341 -0.00515128 -0.01263727 ...  0.0087755  -0.01419826
  0.00704484]",35.476145019404285,61
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,"[-0.04289341 -0.00515128 -0.01263727 ...  0.0087755  -0.01419826
  0.00704484]",35.476145019404285,62
56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,"[-0.04289341 -0.00515128 -0.01263727 ...  0.0087755  -0.01419826
  0.00704484]",35.476145019404285,63
86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,,"[-0.02330007  0.01880272 -0.02870645 ... -0.04063557 -0.0161394
 -0.03349086]",34.21413199081142,64
89,Director Human Resources  at EY,Greater Atlanta Area,349,,"[-0.02781779  0.02105087 -0.01875267 ...  0.00618439  0.00391412
 -0.00295255]",33.62929097214133,65
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,,"[-0.06086406 -0.00503608 -0.01200482 ...  0.01497072  0.00484653
 -0.01736425]",32.30093862562903,66
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,,"[-0.00464192  0.0028872  -0.01171472 ...  0.02364516 -0.00435154
 -0.00528075]",32.02284877098121,67
92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,,"[-0.01403785  0.01181316 -0.00968314 ... -0.00717445 -0.00888523
 -0.01771636]",31.90495303899094,68
4,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,"[-0.03751703  0.01687771 -0.00447103 ...  0.0013477  -0.00875232
  0.00581976]",31.15611469681822,69
59,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,"[-0.03751703  0.01687771 -0.00447103 ...  0.0013477  -0.00875232
  0.00581976]",31.15611469681822,70
47,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,"[-0.03751703  0.01687771 -0.00447103 ...  0.0013477  -0.00875232
  0.00581976]",31.15611469681822,71
18,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,"[-0.03751703  0.01687771 -0.00447103 ...  0.0013477  -0.00875232
  0.00581976]",31.15611469681822,72
22,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,"[-0.03748869  0.01689631 -0.00444271 ...  0.00136953 -0.00876991
  0.00580811]",31.155398862332405,73
34,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,"[-0.03751682  0.01688587 -0.00445038 ...  0.00135388 -0.00875227
  0.0058321 ]",31.15239041370171,74
42,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,"[-0.02042347  0.00183014 -0.01434632 ... -0.00640218  0.00683302
  0.00272678]",27.990236542911177,75
55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,"[-0.02042347  0.00183014 -0.01434632 ... -0.00640218  0.00683302
  0.00272678]",27.990236542911177,76
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,"[-0.02043884  0.00184055 -0.01433893 ... -0.00641737  0.00680665
  0.00269847]",27.988784740079964,77
64,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,"[-0.02043884  0.00184055 -0.01433893 ... -0.00641737  0.00680665
  0.00269847]",27.988784740079964,78
69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,,"[-0.02410027 -0.01355173 -0.01740658 ...  0.00629775 -0.01785482
 -0.0225912 ]",23.97476808897628,79
80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,,"[-0.03489855  0.06363545 -0.01529096 ... -0.00761937 -0.01309783
 -0.00972112]",21.36754678428702,80
104,Director Of Administration at Excellence Logging,"Katy, Texas",500+ ,,"[ 0.01162379  0.02527875 -0.00244082 ... -0.02056779 -0.02046538
 -0.01374031]",19.693771856752697,81
95,Student at Westfield State University,"Bridgewater, Massachusetts",57,,"[-0.04043114  0.0327078  -0.02148406 ...  0.00540714 -0.01872228
  0.0035867 ]",18.345707245825142,82
98,Student,"Houston, Texas Area",4,,"[ 0.00821564  0.0388757  -0.0134684  ... -0.0009177  -0.00139404
 -0.00057848]",18.17745286402901,83
54,Student at Chapman University,"Lake Forest, California",2,,"[-0.04033024  0.01663582 -0.02266771 ... -0.00411484  0.00142876
 -0.0219779 ]",17.15484248239752,84
63,Student at Chapman University,"Lake Forest, California",2,,"[-0.04033024  0.01663582 -0.02266771 ... -0.00411484  0.00142876
 -0.0219779 ]",17.15484248239752,85
41,Student at Chapman University,"Lake Forest, California",2,,"[-0.04039248  0.01663503 -0.02265059 ... -0.0040966   0.00140564
 -0.02196081]",17.154083113765026,86
11,Student at Chapman University,"Lake Forest, California",2,,"[-0.04036645  0.01666961 -0.02265399 ... -0.00409721  0.00143693
 -0.0219641 ]",17.14864166351975,87
93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,,"[-0.01832561  0.00232513 -0.0027927  ...  0.00056135  0.00851039
 -0.00434581]",16.443978124794913,88
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,,"[-0.00629087  0.03001912 -0.00838322 ... -0.01191081 -0.01231891
 -0.00486254]",16.412257946923358,89
90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,,"[ 0.0097848   0.01906742 -0.01396198 ... -0.01654133 -0.0388044
  0.00989893]",15.863374666484775,90
102,Business Intelligence and Analytics at Travelers,Greater New York City Area,49,,"[-0.00479113  0.03291196 -0.01317266 ...  0.00327545  0.01199948
 -0.0147159 ]",12.659388214181647,91
2,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,"[-0.03936601 -0.01863345 -0.02780566 ... -0.00243756  0.0049892
  0.01480789]",11.714636744949,92
45,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,"[-0.03933465 -0.01861779 -0.02785064 ... -0.00245651  0.00497387
  0.01481514]",11.708388700458949,93
32,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,"[-0.03933465 -0.01861779 -0.02785064 ... -0.00245651  0.00497387
  0.01481514]",11.708388700458949,94
16,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,"[-0.03932895 -0.01861509 -0.02781618 ... -0.00243905  0.00498075
  0.01481299]",11.704748760387695,95
20,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,"[-0.03932895 -0.01861509 -0.02781618 ... -0.00243905  0.00498075
  0.01481299]",11.704748760387695,96
91,Lead Official at Western Illinois University,Greater Chicago Area,39,,"[-0.00844217  0.03624032 -0.0155843  ... -0.00605477 -0.00676898
 -0.00439362]",11.679266464288512,97
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),Greater Philadelphia Area,500+ ,,"[-0.0143033   0.00378687 -0.01270254 ... -0.01287775 -0.00046763
 -0.00724324]",7.918573018377529,98
87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,,"[ 0.04015765 -0.0076962  -0.00527052 ... -0.00772368  0.0097027
  0.01167485]",5.013902250836242,99
